1,-8.4577,56.8384,9.2229,33.5156,2
2,-8.6134,146.6000,14.6048,68.3047,3
3,8.7333,114.0737,4.2997,30.3124,2
4,8.6493,124.7851,3.8199,24.0960,1
5,8.6096,51.3438,21.0420,30.8344,2
6,8.7333,33.9139,21.6708,13.2227,1
7,-8.5438,47.8693,20.7103,42.2114,2
8,-8.5354,18.2070,6.6324,13.2864,1
9,-8.7266,170.9688,20.3857,13.8156,1
10,-4.4350,175.8920,11.6729,43.8030,2
11,8.7333,138.2755,18.9260,29.7937,2
12,4.7459,47.2781,6.0048,36.7364,2
13,3.6370,123.1567,20.7367,47.8688,2
14,8.5148,62.2734,11.4381,46.8314,2
15,-8.7333,90.3791,10.5932,45.4064,2
